region_id,year,support_category,budget_group,committed_supports,payments
R002,2020,Transport,Core,49610122.14,42471948.87
R002,2020,Support Coordination,Capacity Building,75120202.18,60070124.36
R002,2020,Improved Daily Living,Capacity Building,51781708.75,45467264.74
R002,2020,Finding & Keeping a Job,Capacity Building,88688491.5,69660041.99
R002,2020,Improved Health & Wellbeing,Capacity Building,136829770.25,122272149.21
R002,2020,Assistive Technology,Capital,44916145.37,36916759.22
R002,2020,Home Modifications,Capital,13718448.78,9672941.61
R002,2021,Assistance with Daily Life,Core,73072462.42,66619787.98
R002,2021,Social & Community Participation,Core,91283437.23,80961901.16
R002,2021,Consumables,Core,18051584.1,16028851.26
R002,2021,Transport,Core,53395717.81,49650285.47
R002,2021,Support Coordination,Capacity Building,90711546.75,76777849.45
R002,2021,Improved Daily Living,Capacity Building,66658910.08,60889842.89
R002,2021,Finding & Keeping a Job,Capacity Building,90875012.07,72256238.52
R002,2021,Improved Health & Wellbeing,Capacity Building,166780696.48,152784678.88
R002,2021,Assistive Technology,Capital,53219069.26,40525017.81
R002,2021,Home Modifications,Capital,13276741.44,9306205.03
R002,2022,Assistance with Daily Life,Core,82868346.33,78623747.86
R002,2022,Social & Community Participation,Core,105134653.48,94118630.36
R002,2022,Consumables,Core,25643482.65,23215983.9
R002,2022,Transport,Core,88327722.88,83024852.42
R002,2022,Support Coordination,Capacity Building,78821488.26,67098685.56
R002,2022,Improved Daily Living,Capacity Building,57057421.95,51417768.73
R002,2022,Finding & Keeping a Job,Capacity Building,99011434.11,77311603.55
R002,2022,Improved Health & Wellbeing,Capacity Building,146231779.78,142983746.95
R002,2022,Assistive Technology,Capital,62352867.8,49485328.85
R002,2022,Home Modifications,Capital,12925537.48,9431821.65
R002,2023,Assistance with Daily Life,Core,103301246.66,92695334.97
R002,2023,Social & Community Participation,Core,121315408.34,113318942.54
R002,2023,Consumables,Core,21893251.06,20499566.74
R002,2023,Transport,Core,66511856.27,62188136.22
R002,2023,Support Coordination,Capacity Building,101639501.12,83842027.4
R002,2023,Improved Daily Living,Capacity Building,67411811.4,60262812.3
R002,2023,Finding & Keeping a Job,Capacity Building,112680280.76,89660729.22
R002,2023,Improved Health & Wellbeing,Capacity Building,151540606.36,137183415.29
R002,2023,Assistive Technology,Capital,69750724.75,56347230.08
R002,2023,Home Modifications,Capital,14784365.45,11234310.11
R002,2024,Assistance with Daily Life,Core,114419014.51,109007748.32
R002,2024,Social & Community Participation,Core,119696110.26,114120277.15
R002,2024,Consumables,Core,23889245.17,21376844.73
R002,2024,Transport,Core,94137734.76,84432412.03
R002,2024,Support Coordination,Capacity Building,112033718.53,95327879.79
R002,2024,Improved Daily Living,Capacity Building,75113953.26,73246883.57
R002,2024,Finding & Keeping a Job,Capacity Building,130648051.71,106185883.87
R002,2024,Improved Health & Wellbeing,Capacity Building,181506547.89,162509834.38
R002,2024,Assistive Technology,Capital,75151449.33,59264411.9
R002,2024,Home Modifications,Capital,17917931.02,13739182.04
R003,2020,Assistance with Daily Life,Core,95257490.09,81683764.23
R003,2020,Social & Community Participation,Core,114422755.25,104937561.45
R003,2020,Consumables,Core,22485124.45,19671111.41
R003,2020,Transport,Core,80628475.27,75678594.87
R003,2020,Support Coordination,Capacity Building,104750242.67,81373525.2
R003,2020,Improved Daily Living,Capacity Building,68736554.91,59109220.51
R003,2020,Finding & Keeping a Job,Capacity Building,114336845.81,85141516.0
R003,2020,Improved Health & Wellbeing,Capacity Building,159346811.4,137209290.23
R003,2020,Assistive Technology,Capital,69504741.02,57820253.58
R003,2020,Home Modifications,Capital,17198242.22,12128786.84
R003,2021,Assistance with Daily Life,Core,110357537.22,105603448.14
R003,2021,Social & Community Participation,Core,102857219.75,99075286.87
R003,2021,Consumables,Core,27844511.28,27035791.6
R003,2021,Transport,Core,87833713.64,81358119.53
R003,2021,Support Coordination,Capacity Building,119244792.64,96462492.4
R003,2021,Improved Daily Living,Capacity Building,73140959.85,65962800.89
R003,2021,Finding & Keeping a Job,Capacity Building,160363242.65,126281119.59
R003,2021,Improved Health & Wellbeing,Capacity Building,168195136.72,151908195.24
R003,2021,Assistive Technology,Capital,79396023.34,67834945.09
R003,2021,Home Modifications,Capital,15118248.34,11256549.87
R003,2022,Assistance with Daily Life,Core,153208958.14,139210595.08
R003,2022,Social & Community Participation,Core,130031587.49,118486716.53
R003,2022,Consumables,Core,34312385.69,31333908.91
R003,2022,Transport,Core,114136430.14,105971594.48
R003,2022,Support Coordination,Capacity Building,101498376.08,83659999.29
R003,2022,Improved Daily Living,Capacity Building,90397087.53,82031146.84
R003,2022,Finding & Keeping a Job,Capacity Building,132636909.07,101237350.95
R003,2022,Improved Health & Wellbeing,Capacity Building,226282355.85,214037389.03
R003,2022,Assistive Technology,Capital,100394349.47,78360153.52
R003,2022,Home Modifications,Capital,22810553.52,17109657.24
R003,2023,Assistance with Daily Life,Core,167045863.22,163701140.38
R003,2023,Social & Community Participation,Core,142855409.14,135968763.7
R003,2023,Consumables,Core,32981229.9,32321605.3
R003,2023,Transport,Core,109118846.8,100019855.02
R003,2023,Support Coordination,Capacity Building,123573213.74,108024540.67
R003,2023,Improved Daily Living,Capacity Building,99365192.14,95099039.81
R003,2023,Finding & Keeping a Job,Capacity Building,173529556.91,133199673.14
R003,2023,Improved Health & Wellbeing,Capacity Building,254962268.59,245297926.43
R003,2023,Assistive Technology,Capital,102872682.36,85072451.09
R003,2023,Home Modifications,Capital,22434938.23,17141708.63
R003,2024,Assistance with Daily Life,Core,139157337.63,136374190.87
R003,2024,Social & Community Participation,Core,197791310.69,182271453.66
R003,2024,Consumables,Core,37744590.46,35348620.65
R003,2024,Transport,Core,120737415.98,115674133.41
R003,2024,Support Coordination,Capacity Building,119712333.87,100960511.56
R003,2024,Improved Daily Living,Capacity Building,93675359.38,91801852.2
R003,2024,Finding & Keeping a Job,Capacity Building,145720736.48,116198115.7
R003,2024,Improved Health & Wellbeing,Capacity Building,291650363.98,279086852.72
R003,2024,Assistive Technology,Capital,112747542.47,96447703.78
R003,2024,Home Modifications,Capital,21891606.46,16457701.96
R004,2020,Assistance with Daily Life,Core,47717444.54,40947950.44
R004,2020,Social & Community Participation,Core,53058938.67,44453123.51
R004,2020,Consumables,Core,9493879.87,8235923.63
R004,2020,Transport,Core,31514172.65,25646093.13
R004,2020,Support Coordination,Capacity Building,33746026.55,26864875.24
R004,2020,Improved Daily Living,Capacity Building,34818273.07,30775287.82
R004,2020,Finding & Keeping a Job,Capacity Building,44386237.41,32449220.45
R004,2020,Improved Health & Wellbeing,Capacity Building,63523858.67,51872391.04
R004,2020,Assistive Technology,Capital,33962930.92,26644592.91
R004,2020,Home Modifications,Capital,6543785.91,4663551.83
R004,2021,Assistance with Daily Life,Core,52720790.84,45476775.23
R004,2021,Social & Community Participation,Core,48783442.27,41545820.66
R004,2021,Consumables,Core,9002177.16,7840311.32
R004,2021,Transport,Core,42530471.48,35769472.92
R004,2021,Support Coordination,Capacity Building,51740334.1,41102443.14
R004,2021,Improved Daily Living,Capacity Building,37451825.5,32892179.81
R004,2021,Finding & Keeping a Job,Capacity Building,51918406.61,38067660.49
R004,2021,Improved Health & Wellbeing,Capacity Building,75446612.11,67924582.08
R004,2021,Assistive Technology,Capital,29200094.11,21944121.44
R004,2021,Home Modifications,Capital,7800265.08,5386533.73
R004,2022,Assistance with Daily Life,Core,45973244.78,41759273.84
R004,2022,Social & Community Participation,Core,71169903.44,61000566.85
R004,2022,Consumables,Core,12629623.7,10994643.75
R004,2022,Transport,Core,50345801.9,45040859.64
R004,2022,Support Coordination,Capacity Building,58029814.26,48552531.88
R004,2022,Improved Daily Living,Capacity Building,36721868.71,32879479.33
R004,2022,Finding & Keeping a Job,Capacity Building,67250803.48,50001166.25
R004,2022,Improved Health & Wellbeing,Capacity Building,81730825.82,69757189.52
R004,2022,Assistive Technology,Capital,43089084.76,34166934.99
R004,2022,Home Modifications,Capital,7339010.18,5284267.96
R004,2023,Assistance with Daily Life,Core,64770798.76,55788363.7
R004,2023,Social & Community Participation,Core,55706958.03,47134799.66
R004,2023,Consumables,Core,14410815.32,12924477.37
R004,2023,Transport,Core,58860888.3,52427936.82
R004,2023,Support Coordination,Capacity Building,65961390.06,50974829.71
R004,2023,Improved Daily Living,Capacity Building,48849375.04,41812051.14
R004,2023,Finding & Keeping a Job,Capacity Building,64728467.97,46494616.97
R004,2023,Improved Health & Wellbeing,Capacity Building,99004670.38,91306702.29
R004,2023,Assistive Technology,Capital,48201883.06,37872747.93
R004,2023,Home Modifications,Capital,10825282.81,7421349.04
R004,2024,Assistance with Daily Life,Core,63047336.9,58567589.99
R004,2024,Social & Community Participation,Core,81975226.34,73322062.64
R004,2024,Consumables,Core,15744040.3,13914325.68
R004,2024,Transport,Core,60505229.27,52696127.12
R004,2024,Support Coordination,Capacity Building,54961604.84,44410581.71
R004,2024,Improved Daily Living,Capacity Building,52473045.53,46745412.72
R004,2024,Finding & Keeping a Job,Capacity Building,65239132.01,50815597.07
R004,2024,Improved Health & Wellbeing,Capacity Building,117747759.87,102338046.32
R004,2024,Assistive Technology,Capital,46201523.32,36586083.34
R004,2024,Home Modifications,Capital,10355456.85,7005486.45
R005,2020,Assistance with Daily Life,Core,27473425.0,21568979.87
R005,2020,Social & Community Participation,Core,24350652.16,17652933.64
R005,2020,Consumables,Core,5754292.02,4533858.17
R005,2020,Transport,Core,17969725.37,13831927.98
R005,2020,Support Coordination,Capacity Building,20640268.25,13709615.48
R005,2020,Improved Daily Living,Capacity Building,14877048.2,11594215.15
R005,2020,Finding & Keeping a Job,Capacity Building,27672192.12,17126380.54
R005,2020,Improved Health & Wellbeing,Capacity Building,44207403.73,32065948.9
R005,2020,Assistive Technology,Capital,14722717.86,9942124.66
R005,2020,Home Modifications,Capital,3067127.65,1820381.33
R005,2021,Assistance with Daily Life,Core,30375881.41,24456135.02
R005,2021,Social & Community Participation,Core,24058792.05,18985578.42
R005,2021,Consumables,Core,6334736.64,4870588.14
R005,2021,Transport,Core,23088941.58,17724180.67
R005,2021,Support Coordination,Capacity Building,28954669.75,20203470.92
R005,2021,Improved Daily Living,Capacity Building,20431599.55,15761306.76
R005,2021,Finding & Keeping a Job,Capacity Building,30955070.07,21284039.59
R005,2021,Improved Health & Wellbeing,Capacity Building,37948486.97,28061525.79
R005,2021,Assistive Technology,Capital,20609676.94,13792408.03
R005,2021,Home Modifications,Capital,3671458.39,2284971.22
R005,2022,Assistance with Daily Life,Core,32981010.94,24334965.83
R005,2022,Social & Community Participation,Core,35994300.77,27763202.74
R005,2022,Consumables,Core,6036336.67,4701768.38
R005,2022,Transport,Core,27874207.29,20690427.68
R005,2022,Support Coordination,Capacity Building,26544788.15,17738246.52
R005,2022,Improved Daily Living,Capacity Building,22144255.44,17615327.34
R005,2022,Finding & Keeping a Job,Capacity Building,34324350.14,21399157.42
R005,2022,Improved Health & Wellbeing,Capacity Building,50342864.73,37995111.74
R005,2022,Assistive Technology,Capital,24375887.3,15740100.01
R005,2022,Home Modifications,Capital,4832486.9,2847164.43
R005,2023,Assistance with Daily Life,Core,31141508.78,24062073.94
R005,2023,Social & Community Participation,Core,45872682.24,37709627.5
R005,2023,Consumables,Core,9171679.33,7550259.74
R005,2023,Transport,Core,26700344.58,21303062.35
R005,2023,Support Coordination,Capacity Building,28733224.36,21163351.06
R005,2023,Improved Daily Living,Capacity Building,26137927.05,20190067.94
R005,2023,Finding & Keeping a Job,Capacity Building,37365549.01,26329011.62
R005,2023,Improved Health & Wellbeing,Capacity Building,53922419.21,42426253.57
R005,2023,Assistive Technology,Capital,23871554.4,16954880.93
R005,2023,Home Modifications,Capital,5053750.76,3231773.36
R005,2024,Assistance with Daily Life,Core,41315718.28,31724066.49
R005,2024,Social & Community Participation,Core,46661985.43,36280461.47
R005,2024,Consumables,Core,8133867.6,6189106.36
R005,2024,Transport,Core,34004296.68,25943227.64
R005,2024,Support Coordination,Capacity Building,33075896.37,22745375.12
R005,2024,Improved Daily Living,Capacity Building,21546852.42,16924910.94
R005,2024,Finding & Keeping a Job,Capacity Building,46605503.68,32396187.58
R005,2024,Improved Health & Wellbeing,Capacity Building,64145264.51,52754637.19
R005,2024,Assistive Technology,Capital,28828998.18,20969581.32
R005,2024,Home Modifications,Capital,6761242.99,4410416.49
R006,2020,Assistance with Daily Life,Core,39020371.65,31771841.66
R006,2020,Social & Community Participation,Core,31344154.7,26201028.26
R006,2020,Consumables,Core,8012802.24,6874371.52
R006,2020,Transport,Core,21848354.71,18983759.68
R006,2020,Support Coordination,Capacity Building,35455643.51,25984377.47
R006,2020,Improved Daily Living,Capacity Building,22857535.34,19199366.5
R006,2020,Finding & Keeping a Job,Capacity Building,44844933.04,32899750.59
R006,2020,Improved Health & Wellbeing,Capacity Building,45402075.42,39145099.73
R006,2020,Assistive Technology,Capital,20658307.02,15480328.37
R006,2020,Home Modifications,Capital,5818107.82,3757698.3
R006,2021,Assistance with Daily Life,Core,32571216.92,27055743.71
R006,2021,Social & Community Participation,Core,40312841.08,33381645.47
R006,2021,Consumables,Core,7381257.9,6227172.47
R006,2021,Transport,Core,26420605.21,23178674.29
R006,2021,Support Coordination,Capacity Building,32572393.55,25390176.48
R006,2021,Improved Daily Living,Capacity Building,21448901.0,18610965.98
R006,2021,Finding & Keeping a Job,Capacity Building,38435355.42,27571230.01
R006,2021,Improved Health & Wellbeing,Capacity Building,65167186.62,55866186.1
R006,2021,Assistive Technology,Capital,22272201.2,17840353.98
R006,2021,Home Modifications,Capital,4929414.57,3268132.43
R006,2022,Assistance with Daily Life,Core,37470840.85,31228087.59
R006,2022,Social & Community Participation,Core,33315856.64,28563457.45
R006,2022,Consumables,Core,7769870.69,6515562.55
R006,2022,Transport,Core,29175848.55,25802082.72
R006,2022,Support Coordination,Capacity Building,31064344.57,24622668.09
R006,2022,Improved Daily Living,Capacity Building,28761632.24,24515196.15
R006,2022,Finding & Keeping a Job,Capacity Building,50885821.27,38196594.01
R006,2022,Improved Health & Wellbeing,Capacity Building,65971732.18,56240528.58
R006,2022,Assistive Technology,Capital,23418337.06,17319170.79
R006,2022,Home Modifications,Capital,5640008.89,4060817.96
R006,2023,Assistance with Daily Life,Core,53412735.16,50454798.24
R006,2023,Social & Community Participation,Core,54302922.88,46746131.84
R006,2023,Consumables,Core,10538317.98,9055864.2
R006,2023,Transport,Core,30931182.76,29188988.11
R006,2023,Support Coordination,Capacity Building,36826457.55,30423660.6
R006,2023,Improved Daily Living,Capacity Building,30055424.37,26674988.43
R006,2023,Finding & Keeping a Job,Capacity Building,59094627.77,45252289.64
R006,2023,Improved Health & Wellbeing,Capacity Building,75804449.14,69908801.89
R006,2023,Assistive Technology,Capital,26560135.32,21895254.74
R006,2023,Home Modifications,Capital,8739194.39,6088530.63
R006,2024,Assistance with Daily Life,Core,64245319.42,54893038.52
R006,2024,Social & Community Participation,Core,59471584.92,52572977.12
R006,2024,Consumables,Core,14137581.15,12457290.06
R006,2024,Transport,Core,45272587.62,41065425.52
R006,2024,Support Coordination,Capacity Building,40772959.06,33723046.73
R006,2024,Improved Daily Living,Capacity Building,31874804.85,29038816.73
R006,2024,Finding & Keeping a Job,Capacity Building,66825832.54,49524180.25
R006,2024,Improved Health & Wellbeing,Capacity Building,75812233.72,69299571.02
R006,2024,Assistive Technology,Capital,32545073.13,25262336.22
R006,2024,Home Modifications,Capital,7385313.87,5111982.65
R007,2020,Assistance with Daily Life,Core,8423680.94,6644958.17
R007,2020,Social & Community Participation,Core,12457609.98,9414617.5
R007,2020,Consumables,Core,1913861.81,1381700.14
R007,2020,Transport,Core,7611878.03,5567999.96
R007,2020,Support Coordination,Capacity Building,8600796.13,6090749.79
R007,2020,Improved Daily Living,Capacity Building,7541307.43,5893813.52
R007,2020,Finding & Keeping a Job,Capacity Building,9638228.71,6200599.8
R007,2020,Improved Health & Wellbeing,Capacity Building,18115825.95,14131234.82
R007,2020,Assistive Technology,Capital,6918317.68,4491458.19
R007,2020,Home Modifications,Capital,1585198.8,991963.16
R007,2021,Assistance with Daily Life,Core,10214328.33,7764658.94
R007,2021,Social & Community Participation,Core,12201911.09,9750575.73
R007,2021,Consumables,Core,2563490.38,1949072.91
R007,2021,Transport,Core,7437556.99,6033623.63
R007,2021,Support Coordination,Capacity Building,8731396.25,6261284.78
R007,2021,Improved Daily Living,Capacity Building,7274331.19,5785396.31
R007,2021,Finding & Keeping a Job,Capacity Building,12000815.37,7958073.15
R007,2021,Improved Health & Wellbeing,Capacity Building,19066194.97,15216680.82
R007,2021,Assistive Technology,Capital,7155792.01,5137166.95
R007,2021,Home Modifications,Capital,1337423.38,805608.1
R007,2022,Assistance with Daily Life,Core,10023033.58,7478115.54
R007,2022,Social & Community Participation,Core,10429082.33,8326508.9
R007,2022,Consumables,Core,2501791.07,1987139.9
R007,2022,Transport,Core,8537706.78,6753004.59
R007,2022,Support Coordination,Capacity Building,12404749.67,8588110.65
R007,2022,Improved Daily Living,Capacity Building,8998445.05,7147922.94
R007,2022,Finding & Keeping a Job,Capacity Building,13316519.59,8792071.87
R007,2022,Improved Health & Wellbeing,Capacity Building,18039819.62,13862903.2
R007,2022,Assistive Technology,Capital,9129267.8,5989509.54
R007,2022,Home Modifications,Capital,1597546.51,1024303.18
R007,2023,Assistance with Daily Life,Core,14170190.48,10903846.41
R007,2023,Social & Community Participation,Core,11108095.58,8568173.78
R007,2023,Consumables,Core,2179984.98,1720682.33
R007,2023,Transport,Core,9082498.95,6976691.36
R007,2023,Support Coordination,Capacity Building,10787629.2,7729869.3
R007,2023,Improved Daily Living,Capacity Building,8108997.83,6790848.31
R007,2023,Finding & Keeping a Job,Capacity Building,16213279.23,10554663.08
R007,2023,Improved Health & Wellbeing,Capacity Building,22091578.8,17248591.95
R007,2023,Assistive Technology,Capital,8354282.96,5758707.41
R007,2023,Home Modifications,Capital,1569302.49,974827.95
R007,2024,Assistance with Daily Life,Core,12406431.46,9909128.92
R007,2024,Social & Community Participation,Core,15813566.75,12128831.49
R007,2024,Consumables,Core,3784586.67,3134590.43
R007,2024,Transport,Core,10715599.4,8248087.7
R007,2024,Support Coordination,Capacity Building,13308317.66,9242469.22
R007,2024,Improved Daily Living,Capacity Building,9168576.05,6924412.85
R007,2024,Finding & Keeping a Job,Capacity Building,14766699.65,10160450.27
R007,2024,Improved Health & Wellbeing,Capacity Building,24398486.75,18989091.3
R007,2024,Assistive Technology,Capital,9322684.26,6712603.33
R007,2024,Home Modifications,Capital,2114828.35,1329072.49
R008,2020,Assistance with Daily Life,Core,64714469.62,56972718.55
R008,2020,Social & Community Participation,Core,78327199.38,70495530.83
R008,2020,Consumables,Core,14209410.49,11716496.47
R008,2020,Transport,Core,53771722.33,45399860.23
R008,2020,Support Coordination,Capacity Building,59341932.42,45718944.42
R008,2020,Improved Daily Living,Capacity Building,49376987.31,43284603.87
R008,2020,Finding & Keeping a Job,Capacity Building,80641456.75,59524899.97
R008,2020,Improved Health & Wellbeing,Capacity Building,91608715.06,78674580.77
R008,2020,Assistive Technology,Capital,42601128.33,32989478.77
R008,2020,Home Modifications,Capital,10190453.03,6978064.3
R008,2021,Assistance with Daily Life,Core,86137297.87,74408451.05
R008,2021,Social & Community Participation,Core,94209659.32,82339622.4
R008,2021,Consumables,Core,16415638.83,14623439.6
R008,2021,Transport,Core,59931818.51,51748281.5
R008,2021,Support Coordination,Capacity Building,61840811.7,47669295.62
R008,2021,Improved Daily Living,Capacity Building,56963704.85,50642340.67
R008,2021,Finding & Keeping a Job,Capacity Building,80489411.55,62556610.02
R008,2021,Improved Health & Wellbeing,Capacity Building,126014389.61,108283327.17
R008,2021,Assistive Technology,Capital,52798912.6,39151758.25
R008,2021,Home Modifications,Capital,12737291.85,8982008.7
R008,2022,Assistance with Daily Life,Core,81607048.84,75656321.3
R008,2022,Social & Community Participation,Core,85725753.46,73919023.04
R008,2022,Consumables,Core,15261107.63,13950813.53
R008,2022,Transport,Core,65267143.58,58070853.42
R008,2022,Support Coordination,Capacity Building,74943422.49,60830517.98
R008,2022,Improved Daily Living,Capacity Building,64809975.04,60164175.6
R008,2022,Finding & Keeping a Job,Capacity Building,92827179.8,70182100.39
R008,2022,Improved Health & Wellbeing,Capacity Building,135631954.41,118090372.52
R008,2022,Assistive Technology,Capital,55164923.65,43695782.97
R008,2022,Home Modifications,Capital,14334486.05,10031661.97
R008,2023,Assistance with Daily Life,Core,92934608.52,83473080.26
R008,2023,Social & Community Participation,Core,99902094.82,89516533.97
R008,2023,Consumables,Core,18820934.63,16872220.33
R008,2023,Transport,Core,78679623.32,70899198.8
R008,2023,Support Coordination,Capacity Building,92498418.08,75734198.7
R008,2023,Improved Daily Living,Capacity Building,83997307.79,74627910.78
R008,2023,Finding & Keeping a Job,Capacity Building,131252955.06,98063139.01
R008,2023,Improved Health & Wellbeing,Capacity Building,143872772.97,128477838.28
R008,2023,Assistive Technology,Capital,83704885.6,66116118.55
R008,2023,Home Modifications,Capital,14899291.49,10791772.9
R008,2024,Assistance with Daily Life,Core,105777296.22,95855875.57
R008,2024,Social & Community Participation,Core,123927557.84,120089327.36
R008,2024,Consumables,Core,23415452.91,22282391.29
R008,2024,Transport,Core,105631341.99,94126598.25
R008,2024,Support Coordination,Capacity Building,100231215.18,80725089.59
R008,2024,Improved Daily Living,Capacity Building,65421421.1,58949773.05
R008,2024,Finding & Keeping a Job,Capacity Building,134016783.79,101503963.26
R008,2024,Improved Health & Wellbeing,Capacity Building,188418003.7,170784414.71
R008,2024,Assistive Technology,Capital,66722050.24,54139426.96
R008,2024,Home Modifications,Capital,15697540.71,12062842.12
R009,2020,Assistance with Daily Life,Core,22819087.76,21498275.43
R009,2020,Social & Community Participation,Core,28265752.59,25958865.31
R009,2020,Consumables,Core,4532436.77,3916915.09
R009,2020,Transport,Core,18750072.52,16899044.91
R009,2020,Support Coordination,Capacity Building,23243936.86,18050442.81
R009,2020,Improved Daily Living,Capacity Building,13408812.66,11994695.64
R009,2020,Finding & Keeping a Job,Capacity Building,25915972.28,19752848.97
R009,2020,Improved Health & Wellbeing,Capacity Building,39260508.58,34711268.27
R009,2020,Assistive Technology,Capital,15940999.02,13060264.83
R009,2020,Home Modifications,Capital,3153238.45,2190711.85
R009,2021,Assistance with Daily Life,Core,22580188.18,20265961.76
R009,2021,Social & Community Participation,Core,22496186.2,20179036.86
R009,2021,Consumables,Core,4882800.82,4748418.57
R009,2021,Transport,Core,23050509.61,21142879.65
R009,2021,Support Coordination,Capacity Building,25766850.87,21944797.3
R009,2021,Improved Daily Living,Capacity Building,20659748.49,20131899.06
R009,2021,Finding & Keeping a Job,Capacity Building,30623582.82,23965719.93
R009,2021,Improved Health & Wellbeing,Capacity Building,49692757.2,47001328.71
R009,2021,Assistive Technology,Capital,16705020.67,13630182.48
R009,2021,Home Modifications,Capital,3578052.77,2785015.85
R009,2022,Assistance with Daily Life,Core,33648764.11,29760895.28
R009,2022,Social & Community Participation,Core,33428422.38,32026997.03
R009,2022,Consumables,Core,6422265.44,6098416.89
R009,2022,Transport,Core,22625689.89,21231397.32
R009,2022,Support Coordination,Capacity Building,30605581.23,24656130.39
R009,2022,Improved Daily Living,Capacity Building,20907866.48,18669798.76
R009,2022,Finding & Keeping a Job,Capacity Building,28866898.05,22878474.3
R009,2022,Improved Health & Wellbeing,Capacity Building,52492619.94,46298389.06
R009,2022,Assistive Technology,Capital,21575799.84,16584241.73
R009,2022,Home Modifications,Capital,3806387.83,2705786.74
R009,2023,Assistance with Daily Life,Core,28752856.5,27843663.94
R009,2023,Social & Community Participation,Core,36880761.28,36143146.06
R009,2023,Consumables,Core,7092476.61,6628792.73
R009,2023,Transport,Core,31481013.4,28466322.54
R009,2023,Support Coordination,Capacity Building,39060937.0,34754147.84
R009,2023,Improved Daily Living,Capacity Building,22458035.6,21851853.2
R009,2023,Finding & Keeping a Job,Capacity Building,44339030.74,35813926.36
R009,2023,Improved Health & Wellbeing,Capacity Building,49651092.7,47323024.66
R009,2023,Assistive Technology,Capital,20735786.41,16981113.9
R009,2023,Home Modifications,Capital,4410779.89,3260091.65
R009,2024,Assistance with Daily Life,Core,30313297.79,28466132.98
R009,2024,Social & Community Participation,Core,39079390.93,38297803.12
R009,2024,Consumables,Core,9424284.67,9191280.31
R009,2024,Transport,Core,28060635.67,27499422.95
R009,2024,Support Coordination,Capacity Building,34989711.76,30632133.73
R009,2024,Improved Daily Living,Capacity Building,20793158.33,19493324.83
